indice_tiempo,agricultura_ganaderia_caza_silvicultura,pesca,explotacion_minas_canteras,industrias_manufactureras,suministro_electricidad_gas_agua,construccion,comercio_reparaciones,hoteles_restaurantes,transporte_almacenamiento_comunicaciones,intermediacion_financiera,actividades_inmobiliarias_empresariales_alquiler,ensenianza,servicios_sociales_salud,otras_actividades_servicios_comunitarias_soc_personales,total
2000-11-01,388.0,1470.0,1985.0,950.0,1583.0,561.0,682.0,511.0,1049.0,1748.0,714.0,542.0,764.0,761.0,810.0
2000-12-01,387.0,1679.0,1986.0,962.0,1558.0,576.0,689.0,513.0,1058.0,1780.0,718.0,548.0,779.0,767.0,817.0
2001-01-01,384.0,1594.0,2022.0,971.0,1575.0,559.0,683.0,500.0,1062.0,1729.0,710.0,546.0,764.0,753.0,816.0
2001-02-01,388.0,1403.0,2021.0,978.0,1565.0,559.0,687.0,503.0,1052.0,1811.0,712.0,549.0,774.0,760.0,820.0
2001-03-01,387.0,1562.0,1752.0,971.0,1548.0,558.0,682.0,499.0,1046.0,1975.0,709.0,545.0,768.0,758.0,819.0
2001-04-01,396.0,1623.0,1924.0,964.0,1615.0,574.0,698.0,505.0,1048.0,1764.0,716.0,547.0,776.0,764.0,817.0
2001-05-01,390.0,1722.0,2368.0,964.0,1570.0,568.0,683.0,500.0,1043.0,1770.0,708.0,549.0,771.0,756.0,815.0
2001-06-01,387.0,1592.0,2001.0,965.0,1583.0,567.0,681.0,502.0,1040.0,1797.0,718.0,542.0,774.0,771.0,815.0
2001-07-01,387.0,1458.0,1959.0,949.0,1538.0,560.0,674.0,501.0,1036.0,1782.0,703.0,546.0,762.0,750.0,806.0
2001-08-01,384.0,1962.0,2049.0,945.0,1559.0,570.0,671.0,499.0,1025.0,1869.0,706.0,540.0,777.0,747.0,809.0
2001-09-01,382.0,2544.0,1990.0,946.0,1579.0,575.0,673.0,496.0,1034.0,1772.0,703.0,544.0,767.0,750.0,808.0
2001-10-01,383.0,2093.0,2050.0,941.0,1558.0,582.0,670.0,491.0,1025.0,1790.0,682.0,542.0,767.0,747.0,803.0
2001-11-01,387.0,2028.0,2063.0,957.0,1535.0,597.0,671.0,497.0,1036.0,1767.0,709.0,542.0,766.0,752.0,812.0
2001-12-01,390.0,1961.0,2054.0,951.0,1564.0,618.0,680.0,500.0,1019.0,1869.0,712.0,541.0,769.0,757.0,816.0
2002-01-01,392.0,1951.0,2082.0,925.0,1485.0,634.0,655.0,492.0,1016.0,1709.0,694.0,546.0,741.0,740.0,797.0
2002-02-01,397.0,1770.0,2159.0,983.0,1632.0,674.0,667.0,499.0,1033.0,1971.0,719.0,543.0,761.0,760.0,835.0
2002-03-01,393.0,1711.0,2254.0,953.0,1471.0,652.0,672.0,493.0,1023.0,1657.0,726.0,538.0,762.0,760.0,815.0
2002-04-01,397.0,2096.0,2267.0,977.0,1578.0,653.0,668.0,499.0,1032.0,1805.0,730.0,533.0,758.0,759.0,825.0
2002-05-01,400.0,2353.0,2547.0,997.0,1583.0,676.0,677.0,499.0,1027.0,1840.0,723.0,533.0,756.0,766.0,836.0
2002-06-01,404.0,2356.0,2168.0,1002.0,1594.0,679.0,680.0,499.0,1046.0,1853.0,740.0,518.0,761.0,771.0,838.0
2002-07-01,409.0,2450.0,2471.0,1049.0,1627.0,709.0,704.0,525.0,1076.0,1877.0,750.0,548.0,766.0,788.0,870.0
2002-08-01,425.0,2540.0,2419.0,1050.0,1634.0,704.0,703.0,526.0,1077.0,1844.0,758.0,540.0,783.0,797.0,869.0
2002-09-01,433.0,2320.0,2499.0,1069.0,1624.0,715.0,712.0,528.0,1075.0,1863.0,763.0,537.0,789.0,801.0,876.0
2002-10-01,443.0,2401.0,2748.0,1089.0,1683.0,710.0,729.0,537.0,1095.0,1951.0,774.0,544.0,805.0,811.0,894.0
2002-11-01,449.0,2389.0,2595.0,1090.0,1674.0,697.0,730.0,542.0,1109.0,1965.0,772.0,547.0,807.0,822.0,896.0
2002-12-01,447.0,2423.0,2603.0,1098.0,1686.0,700.0,735.0,544.0,1110.0,1909.0,778.0,544.0,812.0,824.0,897.0
2003-01-01,473.0,2398.0,2606.0,1117.0,1694.0,694.0,750.0,558.0,1108.0,1984.0,795.0,548.0,817.0,840.0,911.0
2003-02-01,491.0,2324.0,2599.0,1156.0,1739.0,732.0,762.0,562.0,1134.0,1953.0,808.0,555.0,826.0,846.0,928.0
